nr,name,Id,nametype,recclass,massInG,fall,year,reclat,reclong,GeoLocation,,
1,Aachen,1,Valid,L5,21,Fell,01/01/1880 12:00:00 AM,50.775000,6.083330,"(50.775, 6.08333)",,
2,Aarhus,2,Valid,H6,720,Fell,01/01/1951 12:00:00 AM,56.183330,10.233330,"(56.18333, 10.23333)",,
3,Abee,6,Valid,EH4,107000,Fell,01/01/1952 12:00:00 AM,54.216670,-113.000000,"(54.21667, -113.0)",,
4,Acapulco,10,Valid,Acapulcoite,1914,Fell,01/01/1976 12:00:00 AM,16.883330,-99.900000,"(16.88333, -99.9)",,
5,Achiras,370,Valid,L6,780,Fell,01/01/1902 12:00:00 AM,-33.166670,-64.950000,"(-33.16667, -64.95)",,
6,Adhi Kot,379,Valid,EH4,4239,Fell,01/01/1919 12:00:00 AM,32.100000,71.800000,"(32.1, 71.8)",,
7,Adzhi-Bogdo (stone),390,Valid,LL3-6,910,Fell,01/01/1949 12:00:00 AM,44.833330,95.166670,"(44.83333, 95.16667)",,
8,Agen,392,Valid,H5,30000,Fell,01/01/1814 12:00:00 AM,44.216670,0.616670,"(44.21667, 0.61667)",,
9,Aguada,398,Valid,L6,1620,Fell,01/01/1930 12:00:00 AM,-31.600000,-65.233330,"(-31.6, -65.23333)",,
10,Aguila Blanca,417,Valid,L,1440,Fell,01/01/1920 12:00:00 AM,-30.866670,-64.550000,"(-30.86667, -64.55)",,
11,Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,01/01/1974 12:00:00 AM,16.398060,-9.570280,"(16.39806, -9.57028)",,
12,Aïr,424,Valid,L6,24000,Fell,01/01/1925 12:00:00 AM,19.083330,8.383330,"(19.08333, 8.38333)",,
13,Aire-sur-la-Lys,425,Valid,Unknown,1,Fell,01/01/1769 12:00:00 AM,50.666670,2.333330,"(50.66667, 2.33333)",,
14,Akaba,426,Valid,L6,779,Fell,01/01/1949 12:00:00 AM,29.516670,35.050000,"(29.51667, 35.05)",,
15,Akbarpur,427,Valid,H4,1800,Fell,01/01/1838 12:00:00 AM,29.716670,77.950000,"(29.71667, 77.95)",,
16,Akwanga,432,Valid,H,3000,Fell,01/01/1959 12:00:00 AM,8.916670,8.433330,"(8.91667, 8.43333)",,
17,Akyumak,433,Valid,"Iron, IVA",50000,Fell,01/01/1981 12:00:00 AM,39.916670,42.816670,"(39.91667, 42.81667)",,
18,Al Rais,446,Valid,CR2-an,160,Fell,01/01/1957 12:00:00 AM,24.416670,39.516670,"(24.41667, 39.51667)",,
19,Al Zarnkh,447,Valid,LL5,700,Fell,01/01/2001 12:00:00 AM,13.660330,28.960000,"(13.66033, 28.96)",,
20,Alais,448,Valid,CI1,6000,Fell,01/01/1806 12:00:00 AM,44.116670,4.083330,"(44.11667, 4.08333)",,
21,Albareto,453,Valid,L/LL4,2000,Fell,01/01/1766 12:00:00 AM,44.650000,11.016670,"(44.65, 11.01667)",,
22,Alberta,454,Valid,L,625,Fell,01/01/1949 12:00:00 AM,2.000000,22.666670,"(2.0, 22.66667)",,
23,Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,01/01/2002 12:00:00 AM,45.821330,6.015330,"(45.82133, 6.01533)",,
24,Aldsworth,461,Valid,LL5,700,Fell,01/01/1835 12:00:00 AM,51.783330,-1.783330,"(51.78333, -1.78333)",,
25,Aleppo,462,Valid,L6,3200,Fell,01/01/1873 12:00:00 AM,36.233330,37.133330,"(36.23333, 37.13333)",,
26,Alessandria,463,Valid,H5,908,Fell,01/01/1860 12:00:00 AM,44.883330,8.750000,"(44.88333, 8.75)",,
27,Alexandrovsky,465,Valid,H4,9251,Fell,01/01/1900 12:00:00 AM,50.950000,31.816670,"(50.95, 31.81667)",,
28,Alfianello,466,Valid,L6,228000,Fell,01/01/1883 12:00:00 AM,45.266670,10.150000,"(45.26667, 10.15)",,
29,Allegan,2276,Valid,H5,32000,Fell,01/01/1899 12:00:00 AM,42.533330,-85.883330,"(42.53333, -85.88333)",,
30,Allende,2278,Valid,CV3,2000000,Fell,01/01/1969 12:00:00 AM,26.966670,-105.316670,"(26.96667, -105.31667)",,
31,Almahata Sitta,48915,Valid,Ureilite-an,3950,Fell,01/01/2008 12:00:00 AM,20.745750,32.412750,"(20.74575, 32.41275)",,
32,Alta'ameem,2284,Valid,LL5,6000,Fell,01/01/1977 12:00:00 AM,35.273330,44.215560,"(35.27333, 44.21556)",,
33,Ambapur Nagla,2290,Valid,H5,6400,Fell,01/01/1895 12:00:00 AM,27.666670,78.250000,"(27.66667, 78.25)",,
34,Andhara,2294,Valid,Stone-uncl,2700,Fell,01/01/1880 12:00:00 AM,26.583330,85.566670,"(26.58333, 85.56667)",,
35,Andover,2295,Valid,L6,3200,Fell,01/01/1898 12:00:00 AM,44.616670,-70.750000,"(44.61667, -70.75)",,
36,Andreevka,2296,Valid,L3,600,Fell,01/01/1969 12:00:00 AM,48.700000,37.500000,"(48.7, 37.5)",,
37,Andura,2298,Valid,H6,17900,Fell,01/01/1939 12:00:00 AM,20.883330,76.866670,"(20.88333, 76.86667)",,
38,Northwest Africa 5815,50693,Valid,L5,256.8,Found,00/00/0000 00:00:00 AM,0.000000,0.000000,"(0.0, 0.0)",,
39,Angers,2301,Valid,L6,1,Fell,01/01/1822 12:00:00 AM,47.466670,-0.550000,"(47.46667, -0.55)",,
40,Angra dos Reis (stone),2302,Valid,Angrite,1500,Fell,01/01/1869 12:00:00 AM,-22.966670,-44.316670,"(-22.96667, -44.31667)",,
41,Ankober,2304,Valid,H4,6500,Fell,01/01/1942 12:00:00 AM,9.533330,39.716670,"(9.53333, 39.71667)",,
42,Anlong,2305,Valid,H5,2500,Fell,01/01/1971 12:00:00 AM,25.150000,105.183330,"(25.15, 105.18333)",,
43,Aomori,2313,Valid,L6,320,Fell,01/01/1984 12:00:00 AM,40.810560,140.785560,"(40.81056, 140.78556)",,
44,Appley Bridge,2318,Valid,LL6,15000,Fell,01/01/1914 12:00:00 AM,53.583330,-2.716670,"(53.58333, -2.71667)",,
45,Apt,2320,Valid,L6,3200,Fell,01/01/1803 12:00:00 AM,43.866670,5.383330,"(43.86667, 5.38333)",,
46,Arbol Solo,2325,Valid,H5,810,Fell,01/01/1954 12:00:00 AM,-33.000000,-66.000000,"(-33.0, -66.0)",,
47,Archie,2329,Valid,H6,5070,Fell,01/01/1932 12:00:00 AM,38.500000,-94.300000,"(38.5, -94.3)",,
48,Arroyo Aguiar,2340,Valid,H5,7450,Fell,01/01/1950 12:00:00 AM,-31.416670,-60.666670,"(-31.41667, -60.66667)",,
49,Asco,2345,Valid,H6,41,Fell,01/01/1805 12:00:00 AM,42.450000,9.033330,"(42.45, 9.03333)",,
50,Ash Creek,48954,Valid,L6,9500,Fell,01/01/2009 12:00:00 AM,31.805000,-97.010000,"(31.805, -97.01)",,
51,Ashdon,2346,Valid,L6,1300,Fell,01/01/1923 12:00:00 AM,52.050000,0.300000,"(52.05, 0.3)",,
52,Assisi,2353,Valid,H5,2000,Fell,01/01/1886 12:00:00 AM,43.033330,12.550000,"(43.03333, 12.55)",,
53,Atarra,4883,Valid,L4,1280,Fell,01/01/1920 12:00:00 AM,25.254170,80.625000,"(25.25417, 80.625)",,
54,Atemajac,4884,Valid,L6,94.2,Fell,01/01/1896 12:00:00 AM,20.066670,-103.666670,"(20.06667, -103.66667)",,
55,Athens,4885,Valid,LL6,265,Fell,01/01/1933 12:00:00 AM,34.750000,-87.000000,"(34.75, -87.0)",,
56,Atoka,4888,Valid,L6,1384.2,Fell,01/01/1945 12:00:00 AM,34.316670,-96.150000,"(34.31667, -96.15)",,
57,Aubres,4893,Valid,Aubrite,800,Fell,01/01/1836 12:00:00 AM,44.383330,5.166670,"(44.38333, 5.16667)",,
58,Aumale,4899,Valid,L6,50000,Fell,01/01/1865 12:00:00 AM,36.166670,3.666670,"(36.16667, 3.66667)",,
59,Aumieres,4900,Valid,L6,2000,Fell,01/01/1842 12:00:00 AM,44.333330,3.233330,"(44.33333, 3.23333)",,
60,Ausson,4903,Valid,L5,50000,Fell,01/01/1858 12:00:00 AM,43.083330,0.583330,"(43.08333, 0.58333)",,
61,Avanhandava,4905,Valid,H4,9330,Fell,01/01/1952 12:00:00 AM,-21.460280,-49.950830,"(-21.46028, -49.95083)",,
62,Avce,4906,Valid,"Iron, IIAB",1230,Fell,01/01/1908 12:00:00 AM,46.000000,13.500000,"(46.0, 13.5)",,
63,Avilez,4907,Valid,H,146,Fell,01/01/1855 12:00:00 AM,25.000000,-103.500000,"(25.0, -103.5)",,
64,Awere,4910,Valid,L4,134,Fell,01/01/1968 12:00:00 AM,2.716670,32.833330,"(2.71667, 32.83333)",,
65,Aztec,4913,Valid,L6,2830,Fell,01/01/1938 12:00:00 AM,36.800000,-108.000000,"(36.8, -108.0)",,
66,Bachmut,4917,Valid,L6,18000,Fell,01/01/1814 12:00:00 AM,48.600000,38.000000,"(48.6, 38.0)",,
67,Bahjoi,4922,Valid,"Iron, IAB-sLL",10322,Fell,01/01/1934 12:00:00 AM,28.483330,78.500000,"(28.48333, 78.5)",,
68,Bald Mountain,4925,Valid,L4,3700,Fell,01/01/1929 12:00:00 AM,35.966670,-82.483330,"(35.96667, -82.48333)",,
69,Baldwyn,4926,Valid,L6,345,Fell,01/01/1922 12:00:00 AM,34.500000,-88.666670,"(34.5, -88.66667)",,
70,Bali,4928,Valid,CV3,1000,Fell,01/01/1907 12:00:00 AM,5.383330,16.383330,"(5.38333, 16.38333)",,
71,Ban Rong Du,4934,Valid,"Iron, ungrouped",16700,Fell,01/01/1993 12:00:00 AM,16.666670,101.183330,"(16.66667, 101.18333)",,
72,Bandong,4935,Valid,LL6,11500,Fell,01/01/1871 12:00:00 AM,-6.916670,107.600000,"(-6.91667, 107.6)",,
73,Bansur,4936,Valid,L6,15000,Fell,01/01/1892 12:00:00 AM,27.700000,76.333330,"(27.7, 76.33333)",,
74,Banswal,4937,Valid,L5,14,Fell,01/01/1913 12:00:00 AM,30.400000,78.200000,"(30.4, 78.2)",,
75,Banten,4938,Valid,CM2,629,Fell,01/01/1933 12:00:00 AM,-6.333330,106.000000,"(-6.33333, 106.0)",,
76,Barbotan,4942,Valid,H5,6400,Fell,01/01/1790 12:00:00 AM,43.950000,-0.050000,"(43.95, -0.05)",,
77,Barcelona (stone),4944,Valid,OC,0,Fell,01/01/1704 12:00:00 AM,41.366670,2.166670,"(41.36667, 2.16667)",,
78,Barea,4946,Valid,Mesosiderite-A1,3200,Fell,01/01/1842 12:00:00 AM,42.383330,-2.500000,"(42.38333, -2.5)",,
79,Barnaul,4947,Valid,H5,23.2,Fell,01/01/1904 12:00:00 AM,52.733330,84.083330,"(52.73333, 84.08333)",,
80,Barntrup,4948,Valid,LL4,17,Fell,01/01/1886 12:00:00 AM,52.000000,9.100000,"(52.0, 9.1)",,
81,Baroti,4949,Valid,L6,4500,Fell,01/01/1910 12:00:00 AM,31.616670,76.800000,"(31.61667, 76.8)",,
82,Barwell,4954,Valid,L5,44000,Fell,01/01/1965 12:00:00 AM,52.565280,-1.339720,"(52.56528, -1.33972)",,
83,Bassikounou,44876,Valid,H5,29560,Fell,01/01/2006 12:00:00 AM,15.783330,-5.900000,"(15.78333, -5.9)",,
